Exp,Hour,Strain,Sex,Irradiation.Dose,Input,percent
CFChoming,16,NSG,NA,315 cGy,2%FBS,63.2125
CFChoming,16,NSG,NA,315 cGy,2%FBS,85.98
CFChoming,16,NSG,NA,315 cGy,2%FBS,108.748
CFChoming,16,NSG-3GS,NA,315 cGy,2%FBS,81.74
CFChoming,16,NSG-3GS,NA,315 cGy,2%FBS,82.16
CFChoming,16,NSG-3GS,NA,315 cGy,2%FBS,109.57
CFChoming,16,NSG,NA,315 cGy,3GF,56.0348
CFChoming,16,NSG,NA,315 cGy,3GF,59.2724
CFChoming,16,NSG,NA,315 cGy,3GF,74.7131
CFChoming,16,NSG,NA,315 cGy,3GF,80.2067
CFChoming,16,NSG,NA,315 cGy,3GF,83.5029
CFChoming,16,NSG,NA,315 cGy,3GF,111.572
CFChoming,16,NSG,NA,315 cGy,5GF,12.6219
CFChoming,16,NSG,NA,315 cGy,5GF,12.6219
CFChoming,16,NSG,NA,315 cGy,5GF,37.814
CFChoming,16,NSG-3GS,NA,315 cGy,5GF,22.69
CFChoming,16,NSG-3GS,NA,315 cGy,5GF,25.08
CFChoming,16,NSG-3GS,NA,315 cGy,5GF,48.29
CFChoming,16,NSG-3GS,NA,315 cGy,5GF,77.08
CFChoming,16,NSG,NA,315 cGy,fresh,80.4602
CFChoming,16,NSG,NA,315 cGy,fresh,88.59
CFChoming,16,NSG,NA,315 cGy,fresh,89.081
CFChoming,16,NSG,NA,315 cGy,fresh,95.6692
CFChoming,16,NSG,NA,315 cGy,fresh,103.449
CFChoming,16,NSG,NA,315 cGy,fresh,111.41
CFChoming,16,NSG,NA,315 cGy,fresh,114.943
CFChoming,16,NSG,NA,315 cGy,fresh,116.398
CFChoming,16,NSG-3GS,NA,315 cGy,fresh,87.14
CFChoming,16,NSG-3GS,NA,315 cGy,fresh,100
CFChoming,16,NSG-3GS,NA,315 cGy,fresh,104.29
CFChoming,16,NSG-3GS,NA,315 cGy,fresh,108.57
